,news_title,news_details,news_date,source_name
0,मनी लॉन्डरिंग केस : बॉलीवुड अभिनेत्री जैकलीन फर्नांडिस को मिली अंतरिम ज़मानत,बता दें कि सुकेश चंद्रशेखर (Sukesh Chandrasekhar) मनी लॉन्ड्रिंग मामले में प्रवर्तन निदेशालय (ED) ने Jacqueline Fernandez के खिलाफ चार्जशीट पेश की थी. ईडी ने अपनी चार्जशीट में उन्हें आरोपी बताया है. कोर्ट ने चार्जशीट पर संज्ञान लेकर जैकलीन को 26 सितंबर को पेश होने के लिए कहा था. ,"सोमवार सितम्बर 26, 2022 11:37 AM IST",NDTV News
1,अभिनेत्री जैकलीन फर्नांडीज की आज दिल्ली के पटियाला हाउस कोर्ट में बतौर आरोपी पेशी,फिल्म अभिनेत्री जैकलीन फर्नांडीज (Jacqueline Fernandez ) की आज पटियाला हाउस कोर्ट (Patiala House Court) में पेशी होगी. यह उनकी बतौर आरोपी पेशी है. सुकेश चंद्रशेखर (Sukesh Chandrasekhar) मनी लॉन्ड्रिंग मामले में प्रवर्तन निदेशालय (ED) ने उनके खिलाफ चार्जशीट पेश की थी. ईडी ने अपनी चार्जशीट में उन्हें आरोपी बताया है. कोर्ट ने चार्जशीट पर संज्ञान लेकर जैकलीन को 26 सितंबर को पेश होने के लिए कहा था. ,"सोमवार सितम्बर 26, 2022 09:02 AM IST",NDTV News
2,मनी लॉन्डरिंग केस : कोर्ट ने सत्येंद्र जैन की ज़मानत याचिका स्थानांतरित करने की ED की याचिका को मंज़ूरी दी,अदालत ने मामला अन्य न्यायाधीश को स्थानांतरित करने संबंधी ईडी की याचिका पर जैन एवं सह-आरोपी को नोटिस जारी किया.,"शुक्रवार सितम्बर 23, 2022 03:48 PM IST",NDTV News
3,मनी लांड्रिंग मामले में टॉप्स ग्रुप के प्रमोटर और पूर्व एमडी को राहत देने से कोर्ट का इनकार,चंडोले और शशिधरन सुप्रीम कोर्ट के हाल के इस आदेश के आलोक में जेल से रिहा करने की मांग की कि यदि पहले से किसी अन्य एजेंसी द्वारा दर्ज प्रथम सूचना रिपोर्ट नहीं है तो धनशोधन रोकथाम अधिनियम (पीएमएलए) के तहत मामला जारी नहीं रह सकता है. PMLA के प्रावधानों के तहत किसी व्यक्ति के विरुद्ध ईडी की कार्रवाई शुरू करने के लिए ‘अनुसूचित अपराध’ का होना जरूरी है.,"बुधवार सितम्बर 21, 2022 09:18 PM IST",NDTV News
4,"मनी लॉन्ड्रिंग मामला: दिल्ली सरकार के मंत्री सत्येंद्र जैन को सुप्रीम कोर्ट से थोड़ी राहत, पढ़ें पूरी खबर",दिल्ली के मंत्री सत्येंद्र जैन को सुप्रीम कोर्ट से राहत मिली है. सुप्रीम कोर्ट ने निचली अदालत से केस को गुरुवार को ही सुनने व फैसला करने के निर्देश दिए है.,"बुधवार सितम्बर 21, 2022 02:48 PM IST",NDTV News
5,जैकलीन फर्नांडिस से मनी लांड्रिंग मामले में सात घंटे तक हुई पूछताछ,मनी लांड्रिंग मामले में एक्‍ट्रेस जैकलीन फर्नांडिस से सात घंटे तक पूछताछ हुई. दिल्ली पुलिस की आर्थिक अपराध शाखा यानी EOW ने जैकलीन फर्नांडिस से 200 करोड़ के मनी लॉड्रिंग केस में पूछताछ की है.,"सोमवार सितम्बर 19, 2022 11:17 PM IST",NDTV News
6,मनी लॉन्ड्रिंग मामला : दिल्ली की अदालत ने सत्येंद्र जैन के खिलाफ कार्यवाही पर लगाई रोक ,दिल्ली (Delhi) की एक अदालत ने धन शोधन मामले (Money Laundering Cases) में दिल्ली के मंत्री सत्येंद्र जैन (Satyendra Jain) की जमानत अर्जी की सुनवाई पर सोमवार को रोक लगा दी.,"सोमवार सितम्बर 19, 2022 04:51 PM IST",NDTV News
7,मनी लॉन्ड्रिंग मामला : शिवसेना नेता संजय राउत की जेल हिरासत 14 दिन बढ़ी,इससे पहले प्रवर्तन निदेशालय ने शुक्रवार को शिवसेना सांसद संजय राउत की जमानत याचिका का विरोध करते हुए दावा किया था कि पात्रा चॉल पुन:विकास परियोजना से जुड़े धन शोधन में नेता ने महत्वपूर्ण भूमिका निभाई है और ‘पर्दे के पीछे’ रह काम किया है.,"सोमवार सितम्बर 19, 2022 02:14 PM IST",NDTV News
8,सुकेश चंद्रशेखर के 200 करोड़ रुपये की ठगी केस- जैकलीन के बाद आज नोरा फतेही से हो रही पूछताछ,सूत्रों के मुताबिक-इस दौरान जैकलीन और पिंकी ईरानी को आमने-सामने बिठाकर पूछताछ हुई.  जैकलीन और पिंकी ईरानी में काफी नोकझोंक हुई और दोनों ने एक दूसरे को अपशब्द कहे.,"गुरुवार सितम्बर 15, 2022 01:29 PM IST",NDTV News
9,ED ने चीन की लोन ऐप कंपनियों के खिलाफ मनी लॉन्ड्रिंग मामले में की छापेमारी,प्रवर्तन निदेशालय (Enforcement Directorate) ने कुछ भुगतान सेवा मंच (गेटवे) और अन्य कंपनियों के खिलाफ धन शोधन मामले में नए सिरे से छापेमारी की है.,"बुधवार सितम्बर 14, 2022 11:10 PM IST",NDTV News
10,"मनी लांड्रिंग मामला : जैकलीन फर्नांडिस से 8 घंटे तक हुए सवाल, कल नोरा फतेही को पूछताछ के लिए बुलाया गया",दिल्ली पुलिस की आर्थिक अपराध शाखा यानी EOW जैकलीन फर्नांडिस से 200 करोड़ के मनी लॉन्डरिंग केस में आज पूछताछ कर रही थी.,"बुधवार सितम्बर 14, 2022 08:57 PM IST",NDTV News
11,"अभिनेत्री जैकलीन फर्नांडिस से 200 करोड़ के मनी लॉन्डरिंग केस में पूछताछ जारी, EOW कर रही है सवाल",ईडी ने अप्रैल में पीएमएलए के तहत उनकी 7.27 करोड़ रुपये की निधि अस्थायी तौर पर कुर्क की थी तथा 15 लाख रुपये की नकदी जब्त की थी.,"बुधवार सितम्बर 14, 2022 02:30 PM IST",NDTV News
12,नोरा फतेही को गवाह बनाने पर अभिनेत्री जैकलीन फर्नांडीज ने लगाया पक्षपात का आरोप,कथित ठग सुकेश चंद्रशेखर से जुड़े 200 करोड़ रुपये के धन शोधन मामले में प्रवर्तन निदेशालय (ईडी) द्वारा दायर एक अनुपूरक आरोपपत्र में बॉलीवुड अभिनेत्री जैकलीन फर्नांडीज को आरोपी बनाया गया है.,"गुरुवार अगस्त 25, 2022 12:03 PM IST",NDTV News
13,"शिव सेना नेता संजय राउत को बड़ा झटका, न्यायिक हिरासत 5 सितंबर तक बढ़ी",मुंबई की स्पेशल PMLA अदालत ने पात्रा चॉल भूमि घोटाला मामले में राउत की न्यायिक हिरासत 5 सितंबर तक बढ़ा दी है. दरअसल ईडी (ED) ने पात्रा चॉल घोटाले में राउत को 31 जुलाई की देर रात को गिरफ़्तार किया था.,"सोमवार अगस्त 22, 2022 12:48 PM IST",NDTV News
14,"झारखंड के CM हेमंत सोरेन को राहत, मनी लॉन्ड्रिंग के आरोप में झारखंड हाईकोर्ट में सुनवाई पर SC ने लगाई रोक",झारखंड के मुख्यमंत्री हेमंत सोरेन को सुप्रीम कोर्ट से बड़ी राहत मिली है. शेल कंपनियों के जरिए मनी लांड्रिंग के आरोप पर झारखंड हाईकोर्ट में सुनवाई पर SC ने रोक लगा दी है. सुप्रीम कोर्ट ने हाईकोर्ट में याचिका के सुनवाई योग्य होने पर फैसला सुरक्षित रख लिया है.,"बुधवार अगस्त 17, 2022 04:25 PM IST",NDTV News
15,"Binance ने WazirX पर 'ऑफ-चेन' फंड ट्रांसफर बंद किया, जानें क्यों आपस में भिड़े हुए हैं दो बड़े क्रिप्टो एक्सचेंज","बाइनेंस के मुख्य संचार अधिकारी पैट्रिक हिलमैन ने कहा, ‘‘चीजों में स्पष्टता और प्रयोगकर्ताओं के संरक्षण के लिए हम वजीरएक्स और बाइनेंस के बीच ‘ऑफ-चेन’ कोष स्थानांतरण को हटा रहे हैं.","मंगलवार अगस्त 9, 2022 01:25 PM IST",NDTV News
16,"यंग इंडियन लिमिटेड का ऑफिस सील, भड़की कांग्रेस बोली, महंगाई पर प्रदर्शन से पीछे नहीं हटेंगे",National Herald Office : प्रवर्तन निदेशालय ने बुधवार को दिल्ली में कांग्रेस के स्वामित्व वाले नेशनल हेराल्ड कार्यालय में मौजूद यंग इंडियन के कार्यालय को अस्थायी रूप से सील कर दिया. आधिकारिक सूत्रों ने बताया कि यह कार्रवाई ईडी द्वारा धनशोधन मामले की जांच के सिलसिले में की गई है.,"बुधवार अगस्त 3, 2022 11:51 PM IST",NDTV News
17,क्या है पतरा चॉल जमीन घोटाला? जिसमें मनी लॉन्ड्रिंग के आरोपों पर संजय राउत पर ED ने कसी नकेल,संजय राउत ने कुछ भी गलत करने से इनकार किया है और आरोप लगाया है कि उन्हें राजनीतिक प्रतिशोध के लिए निशाना बनाया जा रहा है.,"रविवार जुलाई 31, 2022 11:45 AM IST",NDTV News
18,"'आखिरी सांस तक नहीं छोड़ूंगा शिवसेना', ED की कार्रवाई पर बोले संजय राऊत- बाला साहेब ठाकरे की कसम","प्रवर्तन निदेशालय (ED) की टीम मुंबई में शिवसेना (Shiv Sena) के नेता संजय राऊत (Sanjay Raut) के घर पर पहुंच गई है. पतरा चाल भूमि घोटाला मामले (Patra Chawl land scam case) में दो बार बुलाने पर भी संजय राऊत जांच एजेंसी के सामने पेश नहीं हुए. यही कारण है कि ईडी की टीम आज सुबह-सुबह उनके घर पर पहुंच गई है. ईडी की कार्रवाई पर संजय राउत भड़क गए. उन्होंने टीम के उनके घर पर पहुंचने के बाद ट्वीट करके कहा कि, ''महाराष्ट्र और शिवसेना लड़ते रहेंगे.'' राउत ने कहा कि, ''अब भी नहीं छोडूंगा शिवसेना.'' राउत ने एक अन्य ट्वीट में लिखा है, ''झूठी कार्रवाई, झूठे सबूत, मैं शिवसेना नहीं छोड़ूंगा, आखिरी सांस तक नहीं छोड़ूंगा.''","रविवार जुलाई 31, 2022 10:05 AM IST",NDTV News
19,"शिव सेना सांसद संजय राउत के घर ED का छापा, दो बार समन मिलने पर भी नहीं हुए थे पेश",प्रवर्तन निदेशालय (ED) की टीम मुंबई में शिवसेना (Shiv sena) के नेता संजय राऊत (Sanjay Raut) के घर पर आज सुबह-सुबह पहुंच गई. पतरा चाल भूमि घोटाला मामले (Patra Chawl land scam case) में दो बार बुलाने पर भी संजय राऊत ED के सामने पेश नहीं हुए थे. इसलिए ED की टीम आज सुबह-सुबह उनके घर पर पहुंच गई. टीम इस मामले में तीन स्थानों पर सर्च कर रही है. इन तीन में से एक स्थान राउत का निवास है. ईडी की कार्रवाई जारी है. हालांकि एक बार संजय राऊत से 10 घंटे पूछताछ हो चुकी है.,"रविवार जुलाई 31, 2022 01:50 PM IST",NDTV News
20,मनी लॉन्ड्रिंग मामले में ED ने सत्येंद्र जैन के खिलाफ चार्जशीट दाखिल की,"सीबीआई ने आरोप लगाया है कि जैन ने 14 फरवरी, 2015 से 31 मई, 2017 की अवधि के दौरान दिल्ली सरकार में मंत्री के पद पर रहते हुए, अपनी आय के ज्ञात स्रोतों से अधिक संपत्ति अर्जित की है.","बुधवार जुलाई 27, 2022 04:02 PM IST",NDTV News
21,जम्मू-कश्मीर के पूर्व सीएम फारूक अब्दुल्ला के खिलाफ मनी लांड्रिंग केस में चार्जशीट दाखिल,चार्जशीट जम्मू कश्मीर क्रिकेट एसोसिएशन में कथित वित्तीय अनियमितताओं से संबंधित मनी लॉन्ड्रिंग मामले में दायर की गई है. इस मामले में 84 साल के फारूक अब्दुल्ला से ईडी ने कई बार पूछताछ की है.,"मंगलवार जुलाई 26, 2022 04:28 PM IST",NDTV News
22,"ईडी ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया गिरफ्तार, एनएसई को-लोकेशन केस में मनी लांड्रिंग का आरोप",संजय पांडे (EX Mumbai police commissioner Sanjay Pandey) की यह गिरफ्तारी एनएसई को लोकेशन केस से जुड़े मनी लांड्रिंग के मामले में की गई है. को लोकेशन केस में नेशनल स्टॉक एक्सचेंज की पूर्व सीईओ चित्रा रामकृष्णन मुख्य आरोपी हैं. ,"बुधवार जुलाई 20, 2022 05:27 PM IST",NDTV News
23,"ED के सामने आज पेश नहीं होंगी सत्येंद्र जैन की पत्नी, खराब स्वास्थ्य का दिया हवाला : सूत्र","ED ने कोलकाता की एक कंपनी से जुड़े कथित हवाला लेनदेन के सिलसिले में दिल्ली सरकार में मंत्री सत्येंद्र जैन को 30 म‌ई को गिरफ्तार किया था. इसी मामले में ED ने सत्येंद्र की पत्नी पूनम जैन को भी 14 जुलाई के लिए तलब किया था, लेकिन खराब स्वास्थ्य का हवाला देकर पूनम जैन पूछताछ के लिए ED दफ़्तर नहीं पहुंच रहीं.","गुरुवार जुलाई 14, 2022 11:32 AM IST",NDTV News
24,"ईडी ने सोनिया गांधी को 21 जुलाई को पूछताछ के लिए बुलाया, नेशनल हेराल्ड मनी लांड्रिंग केस में होंगे सवाल-जवाब",नेशनल हेराल्‍ड मनी लांड्रिंग मामले को लेकर प्रवर्तन निदेशालय ने कांग्रेस अध्‍यक्ष सोनिया गांधी को पूछताछ के लिए नोटिस भेजा है. यह पूछताछ 21 जुलाई को होगी.ईडी ने इस मामले में सोनिया को 23 जून को पूछताछ के लिए तलब किया था लेकिन कोस्वास्थ्य संबंधी समस्याओं के चलते कांग्रेस अध्‍यक्ष ने पूछताछ को कुछ सप्‍ताह टालने का आग्रह किया था.,"सोमवार जुलाई 11, 2022 05:12 PM IST",NDTV News
25,एनएसई को-लोकेशन मामलाः ईडी ने मुंबई के पूर्व पुलिस आयुक्त संजय पांडे से पूछताछ की,वर्ष 1986 बैच के भारतीय पुलिस सेवा (आईपीएस) के अधिकारी पांडे 30 जून को सेवानिवृत्त हुए थे. मुंबई के पुलिस आयुक्त के रूप में एक मार्च से शुरू हुए अपने चार महीने के कार्यकाल से पहले उन्होंने महाराष्ट्र के कार्यवाहक पुलिस महानिदेशक के रूप में कार्य किया था.,"मंगलवार जुलाई 5, 2022 04:12 PM IST",NDTV News
26,"ED ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया तलब, 3 दिन पहले हुए हैं रिटायर",मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को 5 जुलाई को तलब किया है. मनी लांड्रिंग केस में जांच एजेंसी ने उन्हें समन भेजा है.,"सोमवार जुलाई 4, 2022 12:23 AM IST",NDTV News
27,दिल्ली के स्वास्थ्य मंत्री सत्येंद्र जैन की न्यायिक हिरासत 14 दिन के लिये बढ़ाई गई,धनशोधन के एक मामले (Money Laundering Case) में प्रवर्तन निदेशालय (ED) द्वारा गिरफ्तार किए गए दिल्ली के स्वास्थ्य मंत्री सत्येंद्र जैन (Satyendra Jain) की न्यायिक हिरासत सोमवार को यहां की एक अदालत ने दो सप्ताह के लिए बढ़ा दी.,"सोमवार जून 27, 2022 05:32 PM IST",NDTV News
28,मेरे पास हवाला का पैसा कहां है? : कांग्रेस की कर्नाटक इकाई के प्रमुख डी के शिवकुमार का दावा,धन शोधन मामले (Money Laundering Case) में अगले हफ्ते दिल्ली की एक अदालत में पेश होने वाले कांग्रेस की कर्नाटक इकाई के अध्यक्ष डी के शिवकुमार (DK Shivakumar) ने शुक्रवार को दावा किया कि उनके पास ‘हवाला का कोई पैसा’ नहीं है और अदालत मामले पर फैसला करेगी.,"शुक्रवार जून 24, 2022 06:47 PM IST",NDTV News
29,सोनिया गांधी ने ED से पूछताछ को कुछ सप्‍ताह टालने का किया अनुरोध,नेशनल हेराल्‍ड केस से संबंधित कथित मनी लांड्रिंग मामले में कांग्रेस अध्‍यक्ष सोनिया गांधी ने प्रवर्तन निदेशालय से पूछताछ को दो दिन टालने का आग्रह किया है. सोनिया को गुरुवार को प्रवर्तन निदेशालय के समक्ष पूछताछ के लिए तलब किया गया था.,"बुधवार जून 22, 2022 03:45 PM IST",NDTV News
