S. No.,news_title,news_details,date,source_name,Event,Political Bias,Social Bias,Keywords,Comments
16, BJP का मिशन 2024: पार्टी ने किया राज्य प्रभारी और सह-प्रभारी के नामों का ऐलान,"भारतीय जनता पार्टी ने शुक्रवार यानी की आज विभिन्न राज्यों के प्रभारियों और सह-प्रभारियों की जिम्मेदारी में बड़ा बदलाव कर दिया है. इसके अंतर्गत पूर्व मुख्यमंत्री विजय रुपाणी, बिप्लब देब और पूर्व केंद्रीय मंत्री प्रकाश जावड़ेकर को क्रमशः पंजाब, हरियाणा, केरल में पार्टी मामलों का प्रभारी बनाया गया. राज्यों में होने वाले आगामी विधान सभा चुनावों के साथ-साथ 2024 में होने वाले लोक सभा चुनाव के चलते इन बदलावों को काफी महत्वपूर्ण माना जा रहा है.","Sep 9,2022, 8:19 AM IST",ZEE News,Money Laundering,,,,Irrelevant
106,"""कई शेल कंपनियों के जरिए की गई मनी लॉन्ड्रिंग""- ED ने IAS पूजा सिंघल मामले में हाईकोर्ट को बताया",IAS पूजा सिंघल मामले में ईडी ने अदालत को ये भी बताया कि रवि केजरीवाल के बयान से संकेत मिलता है कि कई शेल कंपनियों का इस्तेमाल मनी लॉन्ड्रिंग के लिए किया गया था.,"बुधवार मई 18, 2022 10:07 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
116,"""कई शेल कंपनियों के जरिए की गई मनी लॉन्ड्रिंग""- ED ने IAS पूजा सिंघल मामले में हाईकोर्ट को बताया",IAS पूजा सिंघल मामले में ईडी ने अदालत को ये भी बताया कि रवि केजरीवाल के बयान से संकेत मिलता है कि कई शेल कंपनियों का इस्तेमाल मनी लॉन्ड्रिंग के लिए किया गया था.,"बुधवार मई 18, 2022 10:07 AM IST",NDTV News,Money Laundering,Neutral,,,Repeated
136,"""कई शेल कंपनियों के जरिए की गई मनी लॉन्ड्रिंग""- ED ने IAS पूजा सिंघल मामले में हाईकोर्ट को बताया",IAS पूजा सिंघल मामले में ईडी ने अदालत को ये भी बताया कि रवि केजरीवाल के बयान से संकेत मिलता है कि कई शेल कंपनियों का इस्तेमाल मनी लॉन्ड्रिंग के लिए किया गया था.,"बुधवार मई 18, 2022 10:07 AM IST",NDTV News,Money Laundering,Neutral,,,Repeated
168,"""कुछ महानायकों को पिता कहा जाता है"" : नवाब मलिक की गिरफ्तारी के बाद उनकी बेटी","मलिक को दक्षिण मुंबई के बलार्ड एस्टेट इलाके में स्थित ईडी के दफ्तर में करीब पांच घंटे तक चली पूछताछ के बाद गिरफ्तार कर लिया गया. बाद में उन्हें विशेष न्यायाधीश के समक्ष पेश किया गया, जिन्होंने उनको तीन मार्च तक ईडी की हिरासत में भेज दिया.","गुरुवार फ़रवरी 24, 2022 01:14 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
152,“जो जिंदा ही नहीं उन पर लगाया आरोप”: राणा कपूर के ED को दिए बयान पर कांग्रेस का पलटवार,आरोप पत्र के मुताबिक कपूर ने ईडी को बताया कि तत्कालीन पेट्रोलियम मंत्री मुरली देवड़ा ने कहा था कि यदि राणा कपूर ने एम एफ हुसैन की पेंटिंग को खरीदने से मना किया तो न केवल इससे गांधी परिवार से संबंधों को बनाने में बाधा उत्पन्न होगी बल्कि उससे ‘पद्म’ सम्मान प्राप्त करने में कठिनाई होगी. कपूर के इस बयान पर अब काग्रेंस ने भी पलटवार किया है.,"रविवार अप्रैल 24, 2022 11:47 AM IST",NDTV News,Money Laundering,Pro Congress,Neutral,कांग्रेस का पलटवार,
141,“राहुल गांधी को भेजा समन निराधार’’; मनी लॉन्ड्रिंग मामले ED की कार्रवाई पर बोले पी चिदबंरम,"राहुल और सोनिया गांधी को प्रवर्तन निदेशालय (ईडी) के समन और सोमवार को जांच एजेंसी के सामने पेश होने पर कांग्रेस के शक्ति प्रदर्शन के फैसले के बारे में पूछे जाने पर चिदंबरम ने कहा, ''मैं एक कांग्रेस सदस्य और एक वकील के रूप में अपनी बात रखना चाहता हूं. राहुल गांधी को पीएमएलए (धन शोधन निवारण अधिनियम) के तहत भेजा गया ईडी का समन निराधार है.”","रविवार जून 12, 2022 02:54 PM IST",NDTV News,Money Laundering,Pro Congress,Neutral,राहुल गांधी को भेजा समन निराधार,Quote
45,"14 दिन की न्यायिक हिरासत में सत्येंद्र जैन, याचिका पर आज होगी सुनवाई",आम आदमी पार्टी के वरिष्ठ नेता और मंत्री सत्येंद्र जैन को राहत नहीं मिली है. मनी लॉन्ड्रिंग मामले में इन दिनों जेल की हवा खा रहे हैं. हाल ही में खबर आई हैं. राउज एवेन्यू कोर्ट ने कथित धनशोधन मामले में आप नेता और दिल्ली के मंत्री सत्येंद्र जैन को 14 दिन की न्यायिक हिरासत में भेज दिया गया है. आपको बता दें कि सत्येंद्र जैन को ED ने मनी लॉन्ड्रिंग के केस में 30 मई को गिरफ्तार किया था. आपको बता दें कि सत्येंद्र जैन की याचिका पर आज फिर सुनवाई होनी है.,"Jun 14,2022, 11:45 AM IST",ZEE News,Money Laundering,Neutral,Neutral,न्यायिक हिरासत में सत्येंद्र जैन,
7,"200 crore money laundering case: ଆଜି ଜ୍ୟାକଲିନଙ୍କୁ ଜେରା ,ଦିଲ୍ଲୀ ପୋଲିସକୁ ମିଳିବ ବଡ ତଥ୍ୟ",Jacqueline Fernandez : ବିବାଦରେ ସିଂହଳ ସୁନ୍ଦରୀ । ଠକ ସୁକେଶ ପାଇଁ ଟେନସନରେ ଜ୍ୟାକଲିନ୍ । ବଲିଉଡ ଅଭିନେତ୍ରୀ ଜ୍ୟାକଲିନ ଫର୍ଣ୍ଣାଣ୍ଡିଜଙ୍କ ପାଇଁ ଅଡୁଆ ଧିରେ ଧିରେ ବଢିବାରେ ଲାଗିଛି ।ବେଆଇନ ଅର୍ଥ କାରବାର ମାମଲାରେ ଆଜି ପୁଣି ଥରେ ଜ୍ୟାକଲିନ ଫର୍ଣ୍ଣାଣ୍ଡିଜ(Jacqueline Fernandez)ଙ୍କୁ ଜେରା କରିବ ଦିଲ୍ଲୀ ପୋଲିସର ଅର୍ଥନୈତିକ ଅପରାଧ ଶାଖା (Economic Offenses Wing of Delhi Police) ।,"Sep 19,2022, 10:49 AM IST",ZEE News,Money Laundering,,,,Not in Hindi
9,200 करोड़ की ठगी का सवाल!,200 करोड़ की ठगी मामले में आरोपी सुकेश चंद्रशेखर और नोरा फतेही से पूछताछ जारी है. ज़ी न्यूज़ के पास नोरा फतेही और सुकेश चंद्रशेखर को आमने-सामने बैठाकर पूछताछ की डिटेल्स हैं.,"Sep 15,2022, 21:38 PM IST",ZEE News,Money Laundering,Neutral,Neutral,,
